Date,SPY
2024-01-16,468.9150695800781
2024-01-17,466.3085021972656
2024-01-18,470.455322265625
2024-01-19,476.320068359375
2024-01-22,477.32720947265625
2024-01-23,478.7193298339844
2024-01-24,479.2426452636719
2024-01-25,481.84918212890625
2024-01-26,481.2370300292969
2024-01-29,485.0481262207031
2024-01-30,484.6729431152344
2024-01-31,476.7643737792969
2024-02-01,483.00439453125
2024-02-02,488.0891418457031
2024-02-05,486.31195068359375
2024-02-06,487.7238464355469
2024-02-07,491.7916564941406
2024-02-08,492.0088806152344
2024-02-09,494.8523864746094
2024-02-12,494.6351623535156
2024-02-13,487.8225402832031
2024-02-14,492.25567626953125
2024-02-15,495.65216064453125
2024-02-16,493.18377685546875
2024-02-20,490.4686279296875
2024-02-21,490.9128723144531
2024-02-22,501.07257080078125
2024-02-23,501.41815185546875
2024-02-26,499.5816955566406
2024-02-27,500.509765625
2024-02-28,499.8482971191406
2024-02-29,501.645263671875
2024-03-01,506.35479736328125
2024-03-04,505.8117980957031
2024-03-05,500.7566223144531
2024-03-06,503.2940979003906
2024-03-07,508.28997802734375
2024-03-08,505.2391662597656
2024-03-11,504.8047180175781
2024-03-12,510.2350769042969
2024-03-13,509.435302734375
2024-03-14,508.42822265625
2024-03-15,504.9371032714844
2024-03-18,507.93798828125
2024-03-19,510.76068115234375
2024-03-20,515.4849243164062
2024-03-21,517.1884155273438
2024-03-22,516.2078857421875
2024-03-25,514.7816772460938
2024-03-26,513.8309326171875
2024-03-27,518.1490478515625
2024-03-28,518.0499877929688
2024-04-01,517.1487426757812
2024-04-02,513.860595703125
2024-04-03,514.4251098632812
2024-04-04,508.14599609375
2024-04-05,513.45458984375
2024-04-08,513.74169921875
2024-04-09,514.3359985351562
2024-04-10,509.1859130859375
2024-04-11,513.0286254882812
2024-04-12,505.9472961425781
2024-04-15,499.6087341308594
2024-04-16,498.69757080078125
2024-04-17,495.74615478515625
2024-04-18,494.72601318359375
2024-04-19,490.4078674316406
2024-04-22,494.9241027832031
2024-04-23,500.79718017578125
2024-04-24,500.5594787597656
2024-04-25,498.6579284667969
2024-04-26,503.3821716308594
2024-04-29,505.16485595703125
2024-04-30,497.1624450683594
2024-05-01,495.548095703125
2024-05-02,500.1831359863281
2024-05-03,506.3830871582031
2024-05-06,511.6124267578125
2024-05-07,512.1769409179688
2024-05-08,512.2264404296875
2024-05-09,515.1778564453125
2024-05-10,515.8414916992188
2024-05-13,515.9107055664062
2024-05-14,518.27783203125
2024-05-15,524.6956787109375
2024-05-16,523.6160278320312
2024-05-17,524.3688354492188
2024-05-20,524.972900390625
2024-05-21,526.2603759765625
2024-05-22,524.7451782226562
2024-05-23,520.9122924804688
2024-05-24,524.35888671875
2024-05-28,524.725341796875
2024-05-29,521.0509643554688
2024-05-30,517.5943603515625
2024-05-31,522.3087158203125
2024-06-03,522.734619140625
2024-06-04,523.3189697265625
2024-06-05,529.5386962890625
2024-06-06,529.5287475585938
2024-06-07,528.8850708007812
2024-06-10,530.5191650390625
2024-06-11,531.7968139648438
2024-06-12,536.1644897460938
2024-06-13,537.2440185546875
2024-06-14,537.5709228515625
2024-06-17,541.849365234375
2024-06-18,543.22607421875
2024-06-20,541.7503051757812
2024-06-21,541.0240478515625
2024-06-24,539.2653198242188
2024-06-25,541.342041015625
2024-06-26,542.0177001953125
2024-06-27,542.8721313476562
2024-06-28,540.73583984375
2024-07-01,541.8487548828125
2024-07-02,545.4952392578125
2024-07-03,547.9296264648438
2024-07-05,551.0891723632812
2024-07-08,551.72509765625
2024-07-09,552.2616577148438
2024-07-10,557.7264404296875
2024-07-11,552.9173583984375
2024-07-12,556.4049072265625
2024-07-15,557.9351196289062
2024-07-16,561.2437133789062
2024-07-17,553.3744506835938
2024-07-18,549.121826171875
2024-07-19,545.475341796875
2024-07-22,551.0991821289062
2024-07-23,550.2346801757812
2024-07-24,537.7650146484375
2024-07-25,534.9630737304688
2024-07-26,540.9544677734375
2024-07-29,541.2724609375
2024-07-30,538.5300903320312
2024-07-31,547.28369140625
2024-08-01,539.53369140625
2024-08-02,529.4883422851562
2024-08-05,514.0677490234375
2024-08-06,518.8071899414062
2024-08-07,515.3395385742188
2024-08-08,527.2528076171875
2024-08-09,529.5778198242188
2024-08-12,529.8560180664062
2024-08-13,538.56982421875
2024-08-14,540.2689208984375
2024-08-15,549.5292358398438
2024-08-16,550.7612915039062
2024-08-19,556.02734375
2024-08-20,555.1232299804688
2024-08-21,557.0309448242188
2024-08-22,552.6590576171875
2024-08-23,558.53125
2024-08-26,557.1997680664062
2024-08-27,557.9649047851562
2024-08-28,554.7257690429688
2024-08-29,554.775390625
2024-08-30,560.0712890625
2024-09-03,548.5455932617188
2024-09-04,547.4227905273438
2024-09-05,546.0913696289062
2024-09-06,536.900634765625
2024-09-09,542.911865234375
2024-09-10,545.276611328125
2024-09-11,550.8705444335938
2024-09-12,555.5106811523438
2024-09-13,558.4119873046875
2024-09-16,559.2366943359375
2024-09-17,559.4652099609375
2024-09-18,557.8059692382812
2024-09-19,567.3245849609375
2024-09-20,566.3438720703125
2024-09-23,567.7590942382812
2024-09-24,569.3836059570312
2024-09-25,568.1278686523438
2024-09-26,570.3803100585938
2024-09-27,569.5530395507812
2024-09-30,571.8353881835938
2024-10-01,566.712646484375
2024-10-02,566.9518432617188
2024-10-03,565.9153442382812
2024-10-04,571.0579833984375
2024-10-07,565.8953857421875
2024-10-08,571.2473754882812
2024-10-09,575.2041015625
2024-10-10,574.1974487304688
2024-10-11,577.6358642578125
2024-10-14,582.3599853515625
