Date,SPY
2024-10-15,577.835205078125
2024-10-16,580.3467407226562
2024-10-17,580.3965454101562
2024-10-18,582.6290893554688
2024-10-21,581.6723022460938
2024-10-22,581.3633422851562
2024-10-23,576.0512084960938
2024-10-24,577.2969970703125
2024-10-25,577.09765625
2024-10-28,578.8817138671875
2024-10-29,579.8185424804688
2024-10-30,578.064453125
2024-10-31,566.7326049804688
2024-11-01,569.12451171875
2024-11-04,567.8986206054688
2024-11-05,574.7655639648438
2024-11-06,589.0574340820312
2024-11-07,593.612060546875
2024-11-08,596.1834716796875
2024-11-11,596.7515258789062
2024-11-12,594.8978271484375
2024-11-13,595.1868286132812
2024-11-14,591.3596801757812
2024-11-15,583.78515625
2024-11-18,586.1771240234375
2024-11-19,588.3198852539062
2024-11-20,588.5192260742188
2024-11-21,591.6785888671875
2024-11-22,593.512451171875
2024-11-25,595.5256958007812
2024-11-26,598.6351928710938
2024-11-27,596.8212890625
2024-11-29,600.52880859375
2024-12-02,601.605224609375
2024-12-03,601.8842163085938
2024-12-04,605.6216430664062
2024-12-05,604.625
2024-12-06,605.7711791992188
2024-12-09,602.6516723632812
2024-12-10,600.7779541015625
2024-12-11,605.42236328125
2024-12-12,602.3028564453125
2024-12-13,602.1832885742188
2024-12-16,604.7545776367188
2024-12-17,602.262939453125
2024-12-18,584.3134155273438
2024-12-19,584.1339721679688
2024-12-20,591.1500244140625
2024-12-23,594.6900024414062
2024-12-24,601.2999877929688
2024-12-26,601.3400268554688
2024-12-27,595.010009765625
2024-12-30,588.219970703125
2024-12-31,586.0800170898438
2025-01-02,584.6400146484375
2025-01-03,591.9500122070312
2025-01-06,595.3599853515625
2025-01-07,588.6300048828125
2025-01-08,589.489990234375
2025-01-10,580.489990234375
2025-01-13,581.3900146484375
2025-01-14,582.1900024414062
2025-01-15,592.780029296875
2025-01-16,593.10498046875
